Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Genres
21518374,The Goldfinch,Donna Tartt,"Tartt, Donna",,0316242373,9780316242370,2,3.97,Hachette ,Mass Market Paperback,771.0,2013.0,2013.0,2025-08-17,2025-08-11,,,read,,,,1,0,"Fiction, Book Club, Contemporary, Literary Fiction, Audiobook, Dark Academia, Mystery"
12172,Memoirs of Hadrian,Marguerite Yourcenar,"Yourcenar, Marguerite",Grace Frick,0374529264,9780374529260,4,4.21,FSG Adult,Paperback,347.0,2005.0,1951.0,2025-08-11,2025-08-11,,,read,,,,1,0,"Historical Fiction, Fiction, Classics, France, Historical, Philosophy, French Literature"
23674006,Martin Eden,Jack London,"London, Jack",Levent Cinemre,6053322121,9786053322122,4,4.48,Türkiye İş Bankası Kültür Yayınları,Paperback,528.0,2014.0,1909.0,2025-07-31,2025-07-28,,,read,,,,1,0,"Classics, Fiction, American, Literature, Novels, Roman, The United States Of America"
228514368,"Hyperion / Hyperion Kantoları 1. Kitap (Hyperion Cantos, #1)",Dan Simmons,"Simmons, Dan",Can Kantarcı,6052655313,9786052655313,2,4.28,İthaki Yayınları,Paperback,600.0,2025.0,1989.0,2025-07-28,2025-07-28,,,read,,,,1,0,"Science Fiction, Fiction, Fantasy, Space Opera, Audiobook, Science Fiction Fantasy, Horror"
11112513,"İnce Memed 3 (İnce Memed, #3)",Yaşar Kemal,"Kemal, Yaşar",,9750807030,9789750807030,2,4.57,Yapı Kredi Yayınları,Paperback,629.0,2004.0,1984.0,2025-07-12,2025-07-12,,,read,,,,1,0,"Turkish Literature, Turkish, Fiction, Roman, Novels, Literature, Classics"
13561514,"Yeni Bahar (Zaman Çarkı, #0)",Robert Jordan,"Jordan, Robert",Niran Elçi,9752733980,9789752733985,4,4.07,İthaki Yayınları,Hardcover,351.0,2008.0,2004.0,2025-07-11,2025-07-11,,,read,,,,1,0,"Fantasy, Fiction, Epic Fantasy, Audiobook, High Fantasy, Science Fiction Fantasy, Adventure"
208574988,Bir Adamın Savaşı,Haruo Umezaki,"Umezaki, Haruo",Defne Gürtunca,6052653035,9786052653036,4,3.87,İthaki Yayınları,Paperback,64.0,2024.0,1946.0,2025-07-08,2025-07-08,,,read,,,,1,0,
63348187,Lanetli Tavşan,Bora Chung,"Chung, Bora",Sevda Kul,,,4,3.74,İthaki Yayınları,Paperback,232.0,2022.0,2017.0,2025-07-02,2025-07-02,,,read,,,,1,0,"Horror, Short Stories, Fiction, Fantasy, Magical Realism, Science Fiction, Contemporary"
23483428,"Locke Lamora'nın Yalanları (Centilmen Piç, #1)",Scott Lynch,"Lynch, Scott","Cihan Karamancı, M. Ihsan Tatari",6053754196,9786053754190,4,4.3,İthaki Yayınları,Paperback,584.0,2014.0,2006.0,2025-06-30,2025-06-30,,,read,,,,1,0,"Fantasy, Fiction, Audiobook, Adventure, High Fantasy, Adult, Epic Fantasy"
11534108,"En Uzak Sahil (Yerdeniz, #3)",Ursula K. Le Guin,"Guin, Ursula K. Le",Çiğdem Erkal İpek,,9789753420792,3,4.13,Metis Yayınları,Paperback,207.0,1999.0,1972.0,2025-06-30,2025-06-30,,,read,,,,1,0,"Fantasy, Fiction, Young Adult, Classics, Science Fiction Fantasy, Audiobook, High Fantasy"
