Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18339321,Sevme Sanatı,Erich Fromm,"Fromm, Erich",Yurdanur Salman,"=""9753880677""","=""9789753880671""",2,4.00,Payel Yayınları,Paperback,125,1981,1956,2024/10/06,2024/10/06,,,read,,,,1,0
27250648,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,"=""1509818235""","=""9781509818235""",1,4.27,Picador,Paperback,720,2015,2015,2024/09/29,2024/09/22,,,read,,,,1,0
19549400,Hançer Yolu (Zaman Çarkı #8.2),Robert Jordan,"Jordan, Robert",,"=""""","=""""",3,3.73,İthaki Yayınları,Paperback,428,2006,1998,2024/09/29,2024/09/22,,,read,,,,1,0
35581714,Pinokyo,Carlo Collodi,"Collodi, Carlo",Egemen Berköz,"=""6052951044""","=""9786052951040""",3,3.84,Türkiye İş Bankası Kültür Yayınları,Paperback,200,2017,1882,2024/09/22,2024/09/22,,,read,,,,1,0
19549392,Hançer Yolu (Zaman Çarkı #8.1),Robert Jordan,"Jordan, Robert",,"=""975273247X""","=""9789752732476""",3,3.75,İthaki Yayınları,Hardcover,444,2006,1993,2024/09/22,2024/09/22,,,read,,,,1,0
13294095,Lolita,Vladimir Nabokov,"Nabokov, Vladimir",Fatih Özgüven,"=""9754701016""","=""9789754701012""",2,3.87,İletişim Yayıncılık,Paperback,364,2001,1955,2024/09/22,2024/08/08,,,read,,,,1,0
33239416,Cehennem (İlahi Komedya #1),Dante Alighieri,"Alighieri, Dante",,"=""9752116817""","=""9789752116818""",5,4.03,Altın Kitaplar Yayınevi,Paperback,304,2015,1321,2024/09/22,2024/09/08,,,read,,,,1,0
61936179,Nagasaki'nin Çanları,Takashi Nagai,"Nagai, Takashi","Esmanur Yiğit, Esranur Yiğit","=""6258327249""","=""9786258327243""",4,4.22,İthaki Yayınları,Paperback,136,2022,1949,2024/09/08,2024/09/04,,,read,,,,1,0
36618299,Genç Werther'in Acıları,Johann Wolfgang von Goethe,"Goethe, Johann Wolfgang von",Mahmure Kahraman,"=""""","=""""",3,3.70,Türkiye İş Bankası Kültür Yayınları,Paperback,126,,1774,2024/09/08,2024/09/03,,,read,Güzel kitaptı lakin Genç Werther'in fazla kastığını düşünüyorum,,,1,0
17409577,Bir Yaz Gecesi Rüyası,William Shakespeare,"Shakespeare, William",Özdemir Nutku,"=""6053605352""","=""9786053605355""",2,3.94,Türkiye İş Bankası Kültür Yayınları,Paperback,112,2012,1595,2024/09/08,2024/09/04,,,read,,,,1,0
61879234,Japon Balığı Kargaşası,Kanoko Okamoto,"Okamoto, Kanoko","岡本 かの子, Esmanur Yiğit, Esranur Yiğit","=""625832715X""","=""9786258327151""",4,3.45,İthaki Yayınları,Paperback,136,2022,1937,2024/09/03,2024/09/03,,,read,,,,1,0
15705037,Macbeth,William Shakespeare,"Shakespeare, William",Sabahattin Eyüboğlu,"=""9754588597""","=""9789754588590""",4,3.89,İş Bankası Kültür Yayınları,Paperback,150,2006,1623,2024/08/30,2024/08/30,,,read,,,,1,0
40744037,Kiliçtan Taç Zaman Çarki Serisi 7. Cilt 2. Kitap,Robert Jordan,"Jordan, Robert",,"=""9752732291""","=""9789752732292""",4,4.50,Ithaki Yayinlari,Paperback,,2015,,2024/08/30,2024/08/30,,,read,,,,1,0
25479449,Yeter ki Sonu İyi Bitsin,William Shakespeare,"Shakespeare, William",Özdemir Nutku,"=""9944889598""","=""9789944889599""",2,3.60,İş Bankası Kültür Yayınları,Paperback,133,2010,1604,,2024/08/30,,,read,,,,2,0
220826,Kürk Mantolu Madonna,Sabahattin Ali,"Ali, Sabahattin",,"=""9753638027""","=""9789753638027""",3,4.32,Yapı Kredi Yayınları,Paperback,160,1998,1943,,2024/08/30,,,read,,,,2,0
52712114,Peter Pan,J.M. Barrie,"Barrie, J.M.",Çiçek Öztek,"=""6052958901""","=""9786052958902""",3,4.03,Türkiye İş Bankası Kültür Yayınları,Paperback,192,2019,1911,2024/08/30,2024/08/08,,,read,,,,1,0
19545145,Veronalı İki Soylu Delikanlı,William Shakespeare,"Shakespeare, William",Özdemir Nutku,"=""6053609714""","=""9786053609711""",2,3.39,Türkiye İş Bankası Kültür Yayınları,Paperback,148,2013,1594,2024/08/08,2024/08/08,,,read,,,,1,0
13561441,"Göğün Ateşleri (Zaman Çarkı , #5.2)",Robert Jordan,"Jordan, Robert",,"=""""","=""9789752731406""",3,4.20,İthaki Yayınları,Paperback,656,2005,1993,2024/03/18,2024/03/15,,,read,,,,1,0
57986884,"Any Way the Wind Blows (Simon Snow, #3)",Rainbow Rowell,"Rowell, Rainbow",,"=""1529039924""","=""9781529039924""",2,4.10,Pan MacMillan,Paperback,579,2021,2021,2024/07/25,2024/07/22,,,read,,,,1,0
13071749,Kedi Hikâyeleri,Julia Bachstein,"Bachstein, Julia","Esen Tezel, Dürrin Tunç, Aslı Genç, Begüm Kovulmaz, Nazmi Ağıl, Serhan Şimşek, Aylin Karagöz","=""""","=""9789750818417""",2,3.56,Yapı Kredi Yayınları,Paperback,225,2010,2004,2024/07/14,2024/06/30,,,read,,,,1,0
52732123,"Ben, Kirke",Madeline Miller,"Miller, Madeline",Seda Çıngay Mellor,"=""6053759589""","=""9786053759584""",4,4.22,İthaki Yayınları,Paperback,404,2019,2018,2024/07/13,2024/06/30,,,read,,,,1,0
29850626,Fırtına,William Shakespeare,"Shakespeare, William",Özdemir Nutku,"=""6053324094""","=""9786053324096""",3,3.78,Türkiye İş Bankası Kültür Yayınları,Paperback,136,2015,1611,2024/07/04,2024/06/30,,,read,This,,,1,0
18038572,Romeo ve Juliet,William Shakespeare,"Shakespeare, William",Özdemir Nutku,"=""9944888001""","=""9789944888004""",3,3.74,Türkiye İş Bankası Kültür Yayınları,Paperback,133,2010,1590,2024/07/03,2024/07/03,,,read,,,,1,0
36052495,Altıncı Koğuş,Anton Chekhov,"Chekhov, Anton",Yulva Muhurcişi,"=""6052951567""","=""9786052951569""",4,4.23,Türkiye İş Bankası Kültür Yayınları,Paperback,72,2017,1892,2024/06/30,2024/06/30,,,read,,,,1,0
44158405,Kiliçtan Taç Zaman Çarki Serisi 7. Cilt 1. Kitap,Robert Jordan,"Jordan, Robert",,"=""9752732097""","=""9789752732094""",4,4.60,Ithaki Yayinlari,Paperback,,2015,,2024/06/29,2024/06/26,,,read,,,,1,0
