Title,Author,CallNumber,Subject
"Unutma beni apartmanı","Yıldırım, Nermin, 1980-","PL248.Y483 U58 2016","Turkish fiction"
"Kendi yaşamın gibi buyur çekinme!","Baykam, Sibel,","PL248.B35 K33 2016","Turkish fiction"
"Sonsuz gece","Christie, Agatha, 1890-1976,","PR6005 .H66 E519 2016","Turkish fiction"
"Kanadı kırık kuşlar","Kulin, Ayşe, 1941-","PL248 .K85 K36 2016","Turkish fiction"
"Bir kedi, bir adam, bir ölüm","Livaneli, Zülfü, 1946-","PL248.L5 B57 2016","Turkish fiction"
"Eroinle dans","Tan, Canan, 1951-","PL248.T36 E71 2016","Turkish fiction"
"18 saat : bu kitap 18 saat sürecek","Akşun, Ertürk,","PL248.A3658 A18 2016","Turkish fiction"
"Aslında hayal","Başar, Kürşat, 1963-","PL248.B334 A74 2016","Turkish fiction"
"Issız erkekler korosu","Tan, Canan,","PL248.T36 I77 2016","Turkish fiction"
"Sırça köşk : öykü","Sabahattin Ali, 1906-1948.","PL248.A38 S61 2015","Turkish fiction"
"Şeker portakalı : roman","Vasconcelos, Jose Mauro de.,","PQ9697 .V283 M419 2015","Turkish fiction"
"Handan : roman","Kulin, Ayşe,","PL248 .K85 H36 2015","Turkish fiction"
"Çi","Kohen, Azra Sarızeybek,","PL248 .K644 C5 2015","Turkish fiction"
"Yaz üçgeni","Turan, Güven, 1943-,","PL248.T76 Y35 2015","Turkish fiction"
"Hayata dön","Budayıcıoğlu, Gülseren,","PL248.B833 H41 2015","Turkish fiction"
"Kral kaybederse","Budayıcıoğlu, Gülseren,","PL248 .B833 K73 2015","Turkish fiction"
"Konstantiniyye oteli","Livaneli, Zülfü, 1946-","PL248 .L58 K66 2015","Turkish fiction"
"Ters adam : roman","Özarıkça, Barlas, 1948-","PL248.O99 T33 2015","Turkish fiction"
"Mart menekşeleri","Jio, Sarah,","PS3610.I6 V56 2015","Turkish fiction"
"Fi","Kohen, Azra Sarızeybek,","PL248 .K644 F5 2015","Turkish fiction"
"Delice : roman","Altaylı, Hande, 1971-","PL248.A4839 D45 2015","Turkish fiction"
"Öldürmek için mükemmel bir gün","Mazzanti, Mario,","PQ4873.A95317 G56 2015","Turkish fiction"
"Vatanı sattık bir pula : Namık Kemal'in romanı","Topuz, Hıfzı, 1923-","PL248.T6776 V45 2015","Turkish fiction"
"Tek yol : roman","Nesin, Aziz, 1915-1995.","PL248.N43 T253 2015","Turkish fiction"
"Vertigo","Sebald, W. G. (Winfried Georg), 1944-2001,","PT2681 .E18 S319 2015","Turkish fiction"
"Duisburg treni : öyküler","Baykurt, Fakir, 1929-1999,","PL248.B395 D84 2015","Turkish fiction"
"Hindi'nin Ruhu : bir büyük romanı kavrama kılavuzu : roman","Üldes, Ersan, 1973-","PL248 .U4714 H56 2015","Turkish fiction"
"Kireç ocağı","Bernhard, Thomas,","PT2662 .E7 K58 2015","Turkish fiction"
"Üç satırlık romanlar : roman","Fénéon, Félix, 1861-1944,","PQ2611 .E565 N619 2015","Turkish fiction"
"İstanbul: hatıralar ve şehir","Pamuk, Orhan, 1952-","PL248 .P34 I88 2013","Turkish fiction"
"Avarenin rüyası: Roman","Arslan, Sedat,","PL248.A77 A9 2015","Turkish fiction"
"Gitme zamanı","Vartanyan, Aret,","PL248.V378 G58 2015","Turkish fiction"
"İslamcı Erol nasıl çıldırdı?","Genç, Nihat,","PL248.G45 I84 2015","Turkish fiction"
"Devir : roman","Temelkuran, Ece, 1973-","PL248.T46 D48 2015","Turkish fiction"
"Aylak adam : roman","Atılgan, Yusuf, 1921-1989.","PL248.A873 A95 2015","Turkish fiction"
"Benim sine : bir göç hikayesi","Kamalı, Yasemin Çelik, 1982-","PL248.K3548 B46 2015","Turkish fiction"
"Aşkın gözyaşları 5 final :  Yunus Emre","Yağmur, Sinan,","PL248.Y346 A83 2015","Turkish fiction"
"Sen benim hayatımsın","Özpetek, Ferzan,","PL248 .O97 S46 2015","Turkish fiction"
"Pi : 3.14159 : bu hikâye burada bitecek ve sen başlayacaksın","Kohen, Azra Sarızeybek,","PL248.K644 P57 2015","Turkish fiction"
"Ahh kalbim: sakar, komik, acayip platonik","Mekik, Meriç,","PL248.M51 A28 2015","Turkish fiction"
"Tutsak güneş","Kulin, Ayşe,","PL248.K85 T88 2015","Turkish fiction"
"Hasta bakıcı","Fins, Lüset Kohen, 1970-","PL248.F51 H35 2015","Turkish fiction"
"Veda: Esir şehirde bir konak","Kulin, Ayşe,","PL248.K85 V4 2015","Turkish fiction"
"Bab-ı esrar","Ümit, Ahmet, 1960-","PL248.U457 B33 2015","Turkish fiction"
"Dünya ağrısı : roman","Tunç, Ayfer,","PL248.T849 D86 2014","Turkish fiction"
"Melekler zamanı","Erdek, Fatma,","PL248.E661 M51 2014","Turkish fiction"
"Pembe ve Yusuf : roman","Tan, Canan,","PL248.T36 P46 2014","Turkish fiction"
"Gündüzsefası","Jio, Sarah,","PS3610 .I6 M6719 2014","Turkish fiction"
"Yeraltından notlar","Dostoyevsky, Fyodor, 1821-1881,","PG3327 .T8 Z4 2014","Turkish fiction"
"Babamı beklerken","Vanderpool, Clare.","PZ7.P28393 M66 2014","Turkish fiction"
"Kocan kadar konuş","Burcuoğlu, Şebnem,","PL248 .B873 K63 2014","Turkish fiction"
"Atarlı romantik : mecbur kalmadıkça aşık olmayın!","Velveleyeverdim,","PL248.V44 A86 2014","Turkish fiction"
"Erkek dedikodusu 2 : bu gece hiç bitmesin!","French Oje,","PL248.F87 E68 2014","Turkish fiction"
"Tırpan","Baykurt, Fakir, 1929-1999.","PL248.B395 T597 2014","Turkish fiction"
"Aşkın kötü çocukları","Esgin, Oktay,","PL248.E75 A83 2014","Turkish fiction"
"Deliduman","Serbes, Emrah,","PL248 .S47 D45 2014 C.2","Turkish fiction"
"İçimizdeki şeytan : roman","Sabahattin Ali, 1906-1948.","PL248 .A38 I25 2014","Turkish fiction"
"Sona kalan","Gerritsen, Tess,","PS3557 .E687 L3719 2014","Turkish fiction"
"Azur: bir fotoğrafçı ile zehir bilimcinin Amazonlar'da aşkı bulmalarının hikayesi","Awakencordy,","PL248.A96 A997 2014","Turkish fiction"
"Bağdat Caddesi güzeli","Aksu, Ender,","PL248 .A378 B34 2014","Turkish fiction"
"Ortadirek : roman","Yaşar Kemal, 1922-","PL248 .Y3 O78 2014","Turkish fiction"
"Sonun geldi sevgilim","Kiremitçi, Tuna, 1973-","PL248 .K578 S66 2014","Turkish fiction"
"Yaz","Başar, Kürşat, 1963-","PL248 .B334 Y3 2014","Turkish fiction"
"Heba","Toptaş, Hasan Ali, 1958-","PL248 .T67 H443 2013","Turkish fiction"
"Galîz Kahraman","Anar, İhsan Oktay, 1960-","PL248.A54 G35 2014","Turkish fiction"
"Sonsuzluğa nokta","Toptaş, Hasan Ali, 1958-","PL248 .T67 S66 2014","Turkish fiction"
"Hiçbiryerde","Kiper, Hakan,","PL248.K57 H62 2014 C.2","Turkish fiction"
"Biz insanlar","Safa, Peyami, 1899-1961,","PL248.S243 B59 2014","Turkish fiction"
"Zamanımızın bir kahramanı","Lermontov, Mikhail IUrevich, 1814-1841,","PG3337.L4 G418 2014","Turkish fiction"
"Kitap evi : roman","Batur, Enis, 1952-","PL248 .B353 K58 2014","Turkish fiction"
"Kinyas ve Kayra","Günday, Hakan, 1976-","PL248 .G8631 K56 2014","Turkish fiction"
"Babil'i düşlemek : bir özel dedektiflik romanı, 1942","Brautigan, Richard,","PS3503.R2736 D719 2014","Turkish fiction"
"Şifacı","Tuomainen, Antti,","PH356 .T85 P3719 2014","Turkish fiction"
"Kendi içine düşenler ansiklopedisi","Bayer, Selman, 1978-","PL248.B3568 K33 2014","Turkish fiction"
"Dalgalar","Kırkoğlu, Serdar Rifat, 1956-","PL248 .K57 D35 2014","Turkish fiction"
"Yeraltından notlar","Dostoyevsky, Fyodor, 1821-1881,","PG3327.T8 Z4 2014","Turkish fiction"
"Malte Laurids Brigge'nin notları","Rilke, Rainer Maria, 1875-1926.","PT2635 .I65 A819 2014","Turkish fiction"
"Seyyid Hâmid Badincani'nin yeni bulunmuş elyazmalarından Don Quijote'nin üçüncü cildi : roman","Uludere, Ferhat, 1977-","PL248.U4786 S49 2014","Turkish fiction"
"Uykuların doğusu","Toptaş, Hasan Ali, 1958-","PL248.T625 U95 2014","Turkish fiction"
"Şahbaz'ın harikulâde yılı 1979 : Roman","Söğüt, Mine,","PL248.S556 S34 2014","Turkish fiction"
"Huzur","Tanpınar, Ahmet Hamdi, 1901-1962,","PL248 .T234 H89 2014","Turkish fiction"
"Kitab-ül hiyel : eski zaman mucitlerinin inanılmaz hayat öyküleri","Anar, İhsan Oktay, 1960-","PL248.A54 K58 2014","Turkish fiction"
"Cumartesi : roman","McEwan, Ian, 1948-","PR6063 .C4 S219 2014","Turkish fiction"
"Seyyah ressamın yaşamından bir kesit : roman","Aira, César, 1949-","PQ7798.1.I7 E64 2014","Turkish fiction"
"49 Numaralı parçanın nidası","Pynchon, Thomas,","PS3566 .Y55 C7919 2014","Turkish fiction"
"Boğaziçi şıngır mıngır","Birsel, Salâh,","PL248.B57 B64 2014","Turkish fiction"
"Candide ya da iyimserlik ve Micromegas : felsefi öykü","Voltaire, 1694-1778,","PQ2082 .C3 T8 2014","Turkish fiction"
"Herzog","Bellow, Saul,","PS3503 .E4488 H4519 2014","Turkish fiction"
"Handan","Adıvar, Halide Edib, 1885-1964,","PL248.A33 H33 2014","Turkish fiction"
"Ahraz : roman","Gezgin, Deniz, 1981-","PL248.G39 A28 2014","Turkish fiction"
"Zeytindağı","Atay, Falih Rıfkı, 1893-1971.","PL248.A8691 Z4 2014","Turkish fiction"
"Sıfır noktası kobay","Karakuş, Cevher Hakan,","PL248.K18 S57 2014","Turkish fiction"
"Vazgeçiş : yarınsız bir aşkın günlüğü","Dinçal, Şevki,","PL248.D58 V39 2014","Turkish fiction"
"Şifacı","İnan, Alev,","PL248.I35 S573 2014","Turkish fiction"
"Araf: gerçek ile düş arasında","Çolak, Enes,","PL248.C68 A65 2014","Turkish fiction"
"Sana aşık değilim","Enver, Vefa,","PL248.E6848 S26 2014","Turkish fiction"
"Golem ve cin","Wecker, Helene,","PS3623 .E39773 G65 2014","Turkish fiction"
"Beyoğlu rapsodisi","Ümit, Ahmet, 1960-","PL248.U457 B49 2013","Turkish fiction"
"Kısmet büfesi","Karasu, Bilge, 1930-1995.","PL248 .K32 K57 2013","Turkish fiction"
"Altın","Cleave, Chris,","PR6103 .L43 G6519 2013","Turkish fiction"
"Onuncu köy","Baykurt, Fakir, 1929-1999.","PL248.B395 O598 2013","Turkish fiction"
"Yüksek fırınlar","Baykurt, Fakir, 1929-1999.","PL248.B395 Y51 2013","Turkish fiction"
"Eşekli kütüphaneci","Baykurt, Fakir, 1929-1999.","PL248 .B395 E84 2013","Turkish fiction"
"Dijital kale","Brown, Dan, 1964-","PS3552 .R6854 D5419 2013","Turkish fiction"
"Alışverişkolik ve bebeği","Kinsella, Sophie,","PR6073 .I246 S55719 2013","Turkish fiction"
"Silmarillion","Tolkien, J. R. R. (John Ronald Reuel), 1892-1973.","PR6039 .O32 S519 2013","Turkish fiction"
"Çıplak ve yalnız","Koç, Hamdi, 1963-","PL248 .K56 C57 2013","Turkish fiction"
"Dolambaç","Bakker, Gerbrand, 1962-","PT5882.12 .A55 O4913 2013","Turkish fiction"
"Işığın anısı","Jordan, Robert, 1948-","PS3560 .O7617 M4619 2013","Turkish fiction"
"Ustam ve ben","Şafak, Elif, 1971-","PL248 .S282 U88 2013","Turkish fiction"
"Bukre: bazı aşklar aşka ihanettir","Tazeoğlu, Kahraman,","PL248.T386 B93 2013","Turkish fiction"
"Beyoğlu'nun en güzel abisi","Ümit, Ahmet, 1960-","PL248 .U457 B486 2013","Turkish fiction"
"Hanedan","Kayabaşı, Selman,","PL248 .K39 H36 2013","Turkish fiction"
"Sır küpü: kaos teorisi","Güler, Turgay,","PL248.G846 S77 2013","Turkish fiction"
"Mehdix : olasılık teorisi","Güler, Turgay,","PL248 .G846 M44 2013","Turkish fiction"
"Hayatı sevme hastalığı","Türker, Sibel K., 1968-","PL248.T847 H41 2013","Turkish fiction"
"Alper Kamu: cehennem çiçeği","Canıgüz, Alper,","PL248.C36 A47 2013","Turkish fiction"
"Ruhi Mücerret","Menteş, Murat,","PL248 .M46 R84 2013","Turkish fiction"
"Son oyun","Altan, Ahmet, 1950-","PL248 .A483 S66 2013","Turkish fiction"
"Kaiken","Grange, Jean-Christophe,","PQ2667 .R32 K3519 2013","Turkish fiction"
"Kardeşimin hikayesi","Livaneli, Zülfü, 1946-","PL248 .L58 K37 2013 C.2","Turkish fiction"
"Dönüş","Kulin, Ayşe,","PL248 .K85 D66 2013","Turkish fiction"
"Sefil şehir","Polansky, Daniel,","PS3616.O557 L6919 2013","Turkish fiction"
"Diriliş","Tolstoy, Leo, graf, 1828-1910,","PG3367.T9 D5 2013","Turkish fiction"
"Her son bir başlangıçtır: aradığın ve bulamadığın cevaplarla yüzleşme zamanı","Yücel, Duygu Özlem,","PL248.Y94 H53 2013","Turkish fiction"
"İstanbul'da bir merhamet haftası : roman","Gülsoy, Murat,","PL248.G74 I883 2013","Turkish fiction"
"Uzunharmanlar'da bir davetsiz misafir","Kaymaz, Sezgin, 1962-","PL248.K3963 K39 2013","Turkish fiction"
"Denizi yitiren denizci : roman","Mishima, Yukio, 1925-1970.","PL833.I7 G619 2013","Turkish fiction"
"Kayıp hayaller kitabı","Toptaş, Hasan Ali,","PL248.T676 K39 2013","Turkish fiction"
"Saatleri ayarlama enstitüsü","Tanpınar, Ahmet Hamdi, 1901-1962,","PL248.T367 S23 2013","Turkish fiction"
"Yaşamın ucuna yolculuk : anlatı","Özlü, Tezer, 1943-1986,","PL248.O9554 Y37 2013","Turkish fiction"
"Madam Arthur Bey ve hayatındaki her şey : roman","Söğüt, Mine,","PL248.S556 M33 2013","Turkish fiction"
"Bir deliler evinin yalan yalnış anlatılan kısa tarihi : roman","Tunç, Ayfer, 1964-","PL248.T865 B5 2013","Turkish fiction"
"Schrödinger'in kedisi: Rüya","Alatlı, Alev, 1944-","PL248 .A422 S34 2013","Turkish fiction"
"Ah Beyoğlu vah Beyoğlu : Salah bey tarihi 2","Birsel, Salâh, 1919-1999,","PL248.B57 A4 2013","Turkish fiction"
"Üç İstanbul","Kuntay, Mithat Cemal, 1885-1956,","PL248.K777 C11 2013","Turkish fiction"
"Gecenin sonuna yolculuk","Celine, Louis-Ferdinand, 1894-1961.","PQ2607 .E834 V619 2013","Turkish fiction"
"Kenarda","Geçgin, Ayhan,","PL248 .G385 K46 2013","Turkish fiction"
"Başbakan'ın krallığı","Evren, Süreyya.","PL248.E97 B37 2013","Turkish fiction"
"Puslu kıtalar atlası","Anar, İhsan Oktay, 1960-","PL248.A525 P87 2013","Turkish fiction"
"Soğuma : roman","Öztaş, Mahir, 1951-","PL248.O982 S64 2013","Turkish fiction"
"Kara kitap","Pamuk, Orhan, 1952-","PL248.P34 K53 2013","Turkish fiction"
"Görünmez kentler","Calvino, Italo, 1923-1985,","PQ4809 .A45 C519 2013","Turkish fiction"
"Tutunamayanlar","Atay, Oğuz,","PL248.A867 T8 2013","Turkish fiction"
"Gulliver'in gezileri","Swift, Jonathan, 1667-1745,","PR3724.G7 T8 2013","Turkish fiction"
"Reddediyorum","Petterson, Per, 1952-","PT8951.26.E88 J46 2013","Turkish fiction"
"Pedro Páramo","Rulfo, Juan, 1918-1986,","PQ7297 .R89 P419 2013","Turkish fiction"
"Bin hüzünlü haz","Toptaş, Hasan Ali,","PL248.T625 B56 2013","Turkish fiction"
"Pireneler'deki şato","Gaarder, Jostein, 1952-","PT8951.17 .A17 S6319 2013","Turkish fiction"
"Başka sesler başka odalar : roman","Capote, Truman, 1924-1984,","PS3505 .A59 O719 2013","Turkish fiction"
"Şato","Kafka, Franz, 1883-1924,","PT2621.A26 S3419 2013","Turkish fiction"
"Bir küçükburjuvanın gençlik yılları","Özlü, Demir, 1935-","PL248.O9554 B57 2013","Turkish fiction"
"Sessiz ev : roman","Pamuk, Orhan, 1952-","PL248.P34 S47 2013","Turkish fiction"
"Babil'de ölüm İstanbul'da aşk","Pala, İskender, 1958-","PL248.P33 B33 2013","Turkish fiction"
"Bir kadını öldürmek","Atasoy, Sibel,","PL248.A83 B57 2013","Turkish fiction"
"Kayıp şehirde aşk: savaş; ülkeyi böler de Aşk'ı böler mi?","İbili, Mustafa Mutlu,","PL248.I127 K23 2013","Turkish fiction"
"Can pazarında bir iş günü","Usal, Kerem Alp,","PL248 .U84 C36 2013","Turkish fiction"
"Fikir uçurtması : mutlu olmaya çalışırken yıprananların öyküleri","Usal, Kerem Alp,","PL248.U84 F47 2013","Turkish fiction"
"Soyut : rüzgara söylenen sözcükler","Kıyanç, Sinan,","PL248.K62 S73 2013","Turkish fiction"
"On derin ayak izi","Fins, Lüset Kohen, 1970-","PL248.F51 T28 2013","Turkish fiction"
"Leş","Chattam, Maxime, 1976-","PQ2703 .H388 P744 2012","Turkish fiction"
"Dünyada aşk var mı?","Marslı Kovboy,","PL248.M36 D92 2012","Turkish fiction"
"Orman sevdalısı","Vreeland, Susan,","PS3572 .R34 F6719 2012","Turkish fiction"
"Amerikan sargısı","Baykurt, Fakir, 1929-1999.","PL248.B395 A512 2012","Turkish fiction"
"Mesela saat onda","Geçtan, Engin,","PL248 .G438 M47 2012","Turkish fiction"
"Cennetin doğusu","Steinbeck, John, 1902-1968.","PS3537 .T3234 E319 2012","Turkish fiction"
"Gönül meselesi : roman","Kiremitçi, Tuna, 1973-","PL248 .K578 G66 2012","Turkish fiction"
"Frankenstein'ın lâneti","Scognamillo, Giovanni,","PL248.S35 F73 2012","Turkish fiction"
"""Şu an"" hayatın değişiyor deseler","Kalmuk, Nükhet, 1971-","PL248.K14 S93 2012","Turkish fiction"
"Gece olmadan!","Örik, Nahid Sırrı, 1895-1960.","PL248.O685 G32 2012","Turkish fiction"
"Kozmopolitler","Örik, Nahid Sırrı, 1895-1960.","PL248.O685 K69 2012","Turkish fiction"
"Çılgın Türkler: Kıbrıs","Özakman, Turgut, 1930-","PL248 .O93 C55 2012","Turkish fiction"
"Ağlama Smyrna, döneceğim","Engin, Gülseren, 1946-","PL248.E544 A45 2012","Turkish fiction"
"Akra'da bulunan elyazması","Coelho, Paulo","PQ9698.13.O3546 .M29 2012","Turkish fiction"
"Yabancı","Camus, Albert, 1913-1960.","PQ2605.A3734 Y33 2012","Turkish fiction"
"Yaşlı adamın savaşı","Scalzi, John.","PS3619 .C256 O4319 2012","Turkish fiction"
"Bahçemde yeşeren umutlar","Macomber, Debbie.","PS3563 .A2364 S4719 2012","Turkish fiction"
"Şemspare","Şafak, Elif, 1971-","PL248 .S282 S47 2012","Turkish fiction"
"Baskaşı olduğun yer","İpekçi, Leyla, 1966-","PL248 .I64.B37 2012","Turkish fiction"
"Su: uyumsuz Defne Kaman' ın maceraları","Uzuner, Buket, 1955-","PL248 .U98 S9 2012","Turkish fiction"
"Psikiyatrist","Wulf, Dorn.","PT2704 .O75 .T7519 2012","Turkish fiction"
"Bin dokuz yüz seksen dört","Orwell, George, 1903-1950.","PR6029 .R8 .N5319 2012","Turkish fiction"
"Sen kimsin?","Anad, Çiğdem, 1962-","PL248 .A51 S46 2012","Turkish fiction"
"Kahperengi","Altaylı, Hande.","PL248 .A4839 K34 2012","Turkish fiction"
"Sultanı öldürmek : gün akşamlıdır devletlüm","Ümit, Ahmet, 1960-","PL248 .U457 .S85 2012","Turkish fiction"
"Gizli anların yolcusu","Kulin, Ayşe.","PL248 .K85 G59 2012","Turkish fiction"
"Sürücü","Sallis, James, 1944-","PS3569 .A462 .D7519 2012","Turkish fiction"
"Azrail aynası","Ülsever, Cüneyt, 1951-","PL248.U47 .A99 2012","Turkish fiction"
"Sırların kavşağında","Yurdakul, Doğan.","PL248.Y7986 .S575 2012","Turkish fiction"
"Üstat ile Margarita","Bulgakov, Mikhail, 1891-1940.","PG3476 .B78 .M319 2012","Turkish fiction"
"Aşk'a yolculuk : Veysel Karani","Yağmur, Sinan, 1965-","PL248 .Y34 A85 2012","Turkish fiction"
"Selahaddin Eyyubi ve Arslan Yürekli Richard :xb3. haçlı seferinin Filistin safhasının romanı","Scott, Walter, Sir, 1771-1832.","PR5320 K5619 2012","Turkish fiction"
"Aurora'nın incileri","Bezmen, Nermin,","PL248 .B49 A8 2012","Turkish fiction"
"İncir kuşları","Akyüz, Sinan","PL248 A39 I53 2012","Turkish fiction"
"Ben ölmeden önce","Palmer, Michael, 1942-2013,","PS3566.A539 S43 2012","Turkish fiction"
"Beşinci bölgedeki kadın","Kennedy, Douglas, 1955-","PR6061.E5956 W66 2012","Turkish fiction"
"Fransız balkon","Coşkun, Ahmet,","PL248 .C663 F7 2012","Turkish fiction"
"Dublörün dilemması","Menteş, Murat,","PL248.M468 D83 2012","Turkish fiction"
"04:00","Hükümenoğlu, Hikmet,","PL248 .H833 A11 2012","Turkish fiction"
"Kötü çocuk Türk","Gürbilek, Nurdan, 1956-","PL248 .G867 K68 2012","Turkish fiction"
"Klan","Kalender, Cem,","PL248 .K3511 K5 2012","Turkish fiction"
"Oğullar ve rencide ruhlar","Canıgüz, Alper,","PL248.C36 O38 2012","Turkish fiction"
"Piç","Günday, Hakan, 1976-","PL248 .G8631 P52 2012","Turkish fiction"
"Beyaz kale","Pamuk, Orhan, 1952-","PL248.P34 B49 2012","Turkish fiction"
"Karanlıkta kahkaha","Nabokov, Vladimir Vladimirovich, 1899-1977.","PG3476 .N3 K319 2012","Turkish fiction"
"Sessiz ev","Pamuk, Orhan, 1952-","PL248.P34 S47 2012","Turkish fiction"
"Sahnenin dışındakiler : [roman]","Tanpınar, Ahmet Hamdi, 1901-1962,","PL248.T234 S2 2012","Turkish fiction"
"Ayyaş","Fallada, Hans, 1893-1947,","PT2607.I6 T719 2012","Turkish fiction"
"Yunus insanlar","Krol, Torsten,","PR9619.4 .K74 D6519 2012","Turkish fiction"
"Bütün isimler : roman","Saramago, José,","PQ9281.A66 T6319 2012","Turkish fiction"
"Çamlıca'daki eniştemiz : roman","Hisar, Abdülhak Şinasi, 1888-1963,","PL248.H5 C36 2012","Turkish fiction"
"Erkek dedikodusu","French Oje,","PL248.F87 E68 2012","Turkish fiction"
"Gregor ve felaket kehaneti : Yeraltı günlükleri 2","Collins, Suzanne,","PS3603.O4558 G818 2012","Turkish fiction"
"Yıldız yaralanması","Mağden, Perihan, 1960-","PL248.M33 Y4 2012","Turkish fiction"
"Sen yokken","Demirel, Güneş,","PL248.D37 S47 2012","Turkish fiction"
"Od : bizim Yunus","Pala, İskender, 1958-","PL248.P33 O22 2012","Turkish fiction"
"Kurgu hedef tahtasında : edebiyatın savunusu","Jusdanis, Gregory, 1955-","PN45 .J8719 2012","Turkish fiction"
"Az","Günday, Hakan, 1976-","PL248.G8631.A98 2011","Turkish fiction"
"Yayla","Baykurt, Fakir, 1929-1999.","PL248.B395 Y35 2011","Turkish fiction"
"36 baharı","Gürel, Fatma","PL248 .G86 O8 2011","Turkish fiction"
"Serenad","Livaneli, Zülfü, 1946-","PL248.L5 S47 2011","Turkish fiction"
"Oda","Donoghue, Emma, 1969-","PR6054.O547 R6619 2011","Turkish fiction"
"Aşkın şehidi","Turgut, Ahmet, 1975-","PL248 .T87317 A85 2011","Turkish fiction"
"Kubbe'nin altında","King, Stephen, 1947-","PS3561 .I483 .U5319 2011","Turkish fiction"
"Kayıp gül 2 : ölümsüz kalp","Özkan, Serdar, 1975-","PL248 .O9525 K39 2011","Turkish fiction"
"Rica etsem saçımı okşar mısınız?","Mutlu, Mustafa.","PL248 .M884 R53 2011","Turkish fiction"
"Bir süre yere paralel gittikten sonra","Bıçakçı, Barış.","PL248 .B434 .B4 2011","Turkish fiction"
"Gizliajans","Canıgüz, Alper.","PL248.C36 .G59 2011","Turkish fiction"
"Kelebekler ve insanlar","Dökmen, Üstün.","PL248 .D649 .K45 2011","Turkish fiction"
"Aşk notası","Sarp, Aydilge, 1979-","PL248 .S375 A7 2011","Turkish fiction"
"Sinek ısırıklarının müellifi","Bıçakçı, Barış,","PL248 .B434 S5 2011","Turkish fiction"
"Mihrimah ile Sinan : iki camii arasında aşk","Sarıyıldız, Mürvet, 1978-","PL248.S3186 .M54 2012","Turkish fiction"
"Kralların çarpışması","Martin, George R. R.","PS3563 .A7239 C5819 2011 V1","Turkish fiction"
"Cadı : Prinkipo'da büyülü bir arayış","Yılmaz, Oylum.","PL248.Y5536 C33 2011","Turkish fiction"
"Eylül","Mehmet Rauf,","PL248.M45 E95 2011","Turkish fiction"
"Anayurt oteli","Atılgan, Yusuf, 1921-1989","PL248 .A89 A53 2011","Turkish fiction"
"7","Akaş, Cem,","PL248 .A329 Y43 2011","Turkish fiction"
"Şemsiye tamircisi","Yanar, Işık,","PL248.Y21 S47 2011","Turkish fiction"
"Şairin romanı","Mungan, Murathan, 1955-","PL248 .M86 S25 2011","Turkish fiction"
"İmparatorluk","Vidal, Gore, 1925-2012,","PS3543.I26 E419 2011","Turkish fiction"
"Üçüncü polis","O'Brien, Flann, 1911-1966,","PR6029 .N56 T4819 2011","Turkish fiction"
"Azil","Günday, Hakan, 1976-","PL248.G8634 A95 2011","Turkish fiction"
"Apartman boşluğu","Bıçakcı, Hakan, 1978-","PL248.B4898 A63 2011","Turkish fiction"
"Aşkın Kimya'sı","Maufroy, Muriel,","PR9105.9 .M38 R86 2011","Turkish fiction"
"Esrarname : yasak ilmin kitabı","Kafkas, Ayfer, 1979-","PL248.K344 E87 2011","Turkish fiction"
"Bozkırın sırrı : Türk peygamber","Turgut, Ahmet, 1975-","PL248.T87317 T87 2011","Turkish fiction"
"Cariyenin kızı Mihrimah","Altınyeleklioğlu, Demet,","PL248 .A46 C37 2011","Turkish fiction"
"Şeytan ve genç kadın : roman","Coelho, Paulo.","PQ9698.13 .O3546 .D4619 2011","Turkish fiction"
"Zübük : kağnı gölgesindeki it : roman","Nesin, Aziz, 1915-1995.","PL248 .N47 .Z45 2011","Turkish fiction"
"Yazının sarkacı roman","Gümüş, Semih.","PL223 .G859 2011","Turkish fiction"
"Tol : bir intikam romanı","Uyurkulak, Murat,","PL248.U96 T65 2011","Turkish fiction"
"Hava kurşun gibi ağır : Nâzım Hikmet'in romanı","Topuz, Hıfzı.","PL248 .T6776 . H38 2011","Turkish fiction"
"Şeytanın iflası : sırça tuzak II","Bezmen, Nermin,","PL248 .B49 S52 2011","Turkish fiction"
"Piruze : Şam'da bir Türk kızı","Akyüz, Sinan","PL248.A456.P5 2011","Turkish fiction"
"İz","Tan, Canan.","PL248.T36I9 2011","Turkish fiction"
"Kendine bakma kitabı","Mumcu, Cem.","PL248.M8K45 2011","Turkish fiction"
"Bana sen söyle","Tosuner, Necati.","PL248.T63B35 2011","Turkish fiction"
"Cellatbaşı","Acarer, Erk","PL248.A16C39 2011","Turkish fiction"
"Kaosun sırları","Chattam, Maxime.","PQ2663.H38A719 2011","Turkish fiction"
"Martin Eden","London, Jack, 1876-1916.","PS3523 .O46 M319 2010","Turkish fiction"
"Muhafız","Kayabaşı, Selman,","PL248.K39 M95 2010","Turkish fiction"
"Mektup arkadaşları","Ongun, İpek, 1942-","PL248.O54M45 2010","Turkish fiction"
"Değirmen: roman","Ülger, Poyraz,","PL248.U39 D4 2010","Turkish fiction"
"Konuşmayan tavus kuşu Camio","Yurdakul, Berrak,","PL248 .Y7982 K66 2010","Turkish fiction"
"Adım adım hayata","Ongun, İpek, 1942-","PL248.O54A35 2010","Turkish fiction"
"Gökyüzünün üzerinde üç metre","Moccia, Federico, 1963-","PQ4913 .O23 .T7419 2010","Turkish fiction"
